nom;categorie;address;adresse;commune;insee;capacite;anneecreation;ctm;gestionnaire;groupe;datemaj;gid;gps
Les Petits Futes;Association;{'postalCode': '69250', 'streetAddress': '57 avenue Gabriel Peri', 'addressCountry': 'FR', 'addressLocality': 'Albigny-sur-Saone'};57 avenue Gabriel Peri, 69250 Albigny-sur-Saone;Albigny-sur-Saone;69003;28;1992;Val de Saone;AGDS;;07/03/2022;1;45.8666595, 4.8321708
Arc En Ciel;Collectivite Locale;{'postalCode': '69500', 'streetAddress': '63 rue Christian Lacouture', 'addressCountry': 'FR', 'addressLocality': 'Bron'};63 rue Christian Lacouture, 69500 Bron;Bron;69029;16;2010;Porte des Alpes;CCAS;;07/03/2022;2;45.7441375, 4.9109369
Clair De Lune;Hopital;{'postalCode': '69500', 'streetAddress': 'CH du Vinatier 95 bd Pinel', 'addressCountry': 'FR', 'addressLocality': 'Bron'};CH du Vinatier 95 bd Pinel, 69500 Bron;Bron;69029;70;1972;Porte des Alpes;CENTRE HOSPITALIER LE VINATIER;;07/03/2022;3;45.7420515, 4.89413659999999
Cocon Des Sens;Entreprise;{'postalCode': '69500', 'streetAddress': '14 rue Martin', 'addressCountry': 'FR', 'addressLocality': 'Bron'};14 rue Martin, 69500 Bron;Bron;69029;10;2019;Porte des Alpes;LA MAISON BLEUE MC EST 6;LA MAISON BLEUE SAS;07/03/2022;4;45.7293739, 4.8884619
Croc' Noisette;Entreprise;"{'postalCode': '69500', 'streetAddress': 7 rue du 35eme Regiment d'Aviation"", 'addressCountry': 'FR', 'addressLocality': 'Bron'}""";7 rue du 35eme Regiment d'Aviation, 69500 Bron;Bron;69029;20;2019;Porte des Alpes;LeA ET LeO SUD EST SARL;LeA ET LeO SAS;07/03/2022;5;45.7381478, 4.9286706
Creche Hopital Cardio-Neuro;Hopital;{'postalCode': '69500', 'streetAddress': '59 bd Pinel', 'addressCountry': 'FR', 'addressLocality': 'Bron'};59 bd Pinel, 69500 Bron;Bron;69029;50;1974;Porte des Alpes;;;07/03/2022;6;45.7478896, 4.8972013
Equal;Association;{'postalCode': '69500', 'streetAddress': '8 avenue Pierre Mendes France', 'addressCountry': 'FR', 'addressLocality': 'Bron'};8 avenue Pierre Mendes France, 69500 Bron;Bron;69029;24;1975;Porte des Alpes;EQUAL;;07/03/2022;7;45.7198327, 4.911101
Essartgosses;Association;{'postalCode': '69500', 'streetAddress': '21 rue du Parc', 'addressCountry': 'FR', 'addressLocality': 'Bron'};21 rue du Parc, 69500 Bron;Bron;69029;24;2008;Porte des Alpes;LA MAISON DES ESSARTS;;07/03/2022;8;45.7322417, 4.8924412
L'emerveille;Association;{'postalCode': '69500', 'streetAddress': '36 r Guynemer', 'addressCountry': 'FR', 'addressLocality': 'Bron'};36 r Guynemer, 69500 Bron;Bron;69029;24;1993;Porte des Alpes;;;07/03/2022;9;45.7436253, 4.9220063
Les Copains D'abord;Association;{'postalCode': '69500', 'streetAddress': '11 rue Gerard Philipe', 'addressCountry': 'FR', 'addressLocality': 'Bron'};11 rue Gerard Philipe, 69500 Bron;Bron;69029;20;1977;Porte des Alpes;CENTRE SOCIAL GeRARD PHILIPE;;07/03/2022;10;45.742014, 4.9183147
Les Diablerets;Collectivite Locale;{'postalCode': '69500', 'streetAddress': '20 avenue Pierre Brossolette', 'addressCountry': 'FR', 'addressLocality': 'Bron'};20 avenue Pierre Brossolette, 69500 Bron;Bron;69029;35;1977;Porte des Alpes;CCAS;;07/03/2022;11;45.7465053, 4.9174314
