commune;insee;nb_logement_soc;nbdemande_en_2022;datemaj;gid
Cailloux-sur-Fontaines;69033;37;32;21/08/2023;15
Givors;69091;3470;1086;21/08/2023;18
Saint-Genis-les-Ollieres;69205;257;94;21/08/2023;16
Villeurbanne;69266;20541;10213;21/08/2023;17
Craponne;69069;809;439;21/08/2023;38
Limonest;69116;261;157;21/08/2023;41
Sainte-Foy-les-Lyon;69202;1174;549;21/08/2023;40
Saint-Germain-au-Mont-d'Or;69207;409;100;21/08/2023;39
Champagne-au-Mont-d'Or;69040;635;346;21/08/2023;21
Francheville;69089;1022;423;21/08/2023;22
Meyzieu;69282;2708;1869;21/08/2023;55
Charbonnieres-les-Bains;69044;314;162;21/08/2023;25
Venissieux;69259;12754;4011;21/08/2023;24
Fontaines-sur-Saone;69088;768;241;21/08/2023;43
Decines-Charpieu;69275;2982;2127;21/08/2023;42
Saint-Fons;69199;3495;944;21/08/2023;66
Tassin-la-Demi-Lune;69244;1226;846;21/08/2023;46
La Tour-de-Salvagny;69250;168;90;21/08/2023;45
Rillieux-la-Pape;69286;6294;1373;21/08/2023;47
Saint-Priest;69290;6397;3210;21/08/2023;64
Sathonay-Camp;69292;842;371;21/08/2023;67
Sathonay-Village;69293;33;30;21/08/2023;50
Curis-au-Mont-d'Or;69071;25;15;21/08/2023;60
Irigny;69100;676;273;21/08/2023;59
Genay;69278;437;151;21/08/2023;61
Charly;69046;125;79;21/08/2023;54
Fleurieu-sur-Saone;69085;20;19;21/08/2023;35
Fontaines-Saint-Martin;69087;64;29;21/08/2023;9
Grigny;69096;1205;274;21/08/2023;31
Lissieu;69117;122;42;21/08/2023;32
Marcy-l'etoile;69127;600;103;21/08/2023;14
Pierre-Benite;69152;1068;608;21/08/2023;2
Poleymieux-au-Mont-d'Or;69153;19;8;21/08/2023;7
Quincieux;69163;127;35;21/08/2023;33
Montanay;69284;56;27;21/08/2023;52
Solaize;69296;40;54;21/08/2023;12
Lyon 9e Arrondissement;69389;9284;3535;21/08/2023;65
Albigny-sur-Saone;69003;257;65;21/08/2023;51
Bron;69029;4517;2717;21/08/2023;48
Caluire-et-Cuire;69034;3733;1688;21/08/2023;4
Collonges-au-Mont-d'Or;69063;212;96;21/08/2023;27
Couzon-au-Mont-d'Or;69068;113;49;21/08/2023;1
Dardilly;69072;604;293;21/08/2023;30
ecully;69081;2698;652;21/08/2023;13
La Mulatiere;69142;692;149;21/08/2023;28
Neuville-sur-Saone;69143;877;431;21/08/2023;8
Oullins;69149;2306;1196;21/08/2023;37
Rochetaillee-sur-Saone;69168;120;18;21/08/2023;23
Saint-Cyr-au-Mont-d'Or;69191;272;137;21/08/2023;53
Saint-Didier-au-Mont-d'Or;69194;192;103;21/08/2023;63
Saint-Genis-Laval;69204;1530;686;21/08/2023;29
Saint-Romain-au-Mont-d'Or;69233;36;12;21/08/2023;5
Vaulx-en-Velin;69256;9695;2832;21/08/2023;36
Vernaison;69260;426;100;21/08/2023;10
Chassieu;69271;719;516;21/08/2023;58
Corbas;69273;610;516;21/08/2023;56
Feyzin;69276;1327;590;21/08/2023;6
Jonage;69279;52;96;21/08/2023;34
Mions;69283;862;579;21/08/2023;62
Lyon 1er Arrondissement;69381;2833;2737;21/08/2023;57
Lyon 3e Arrondissement;69383;9006;6599;21/08/2023;3
Lyon 2e Arrondissement;69382;2494;2243;21/08/2023;44
Lyon 4e Arrondissement;69384;2918;1910;21/08/2023;19
Lyon 5e Arrondissement;69385;4653;1872;21/08/2023;11
Lyon 6e Arrondissement;69386;2798;2368;21/08/2023;20
Lyon 7e Arrondissement;69387;8885;6437;21/08/2023;49
Lyon 8e Arrondissement;69388;15125;7626;21/08/2023;26
